screening_date,company,symbol,exchange,listing_board,sector,industry,current_price_inr,price_date,market_cap_inr_cr,market_cap_date,liquidity_metric_name,liquidity_value_inr_cr,liquidity_period,eligible_flag,exclusion_code,exclusion_reason,primary_archetype,classification_rationale,secondary_tags,technical_stage,technical_data_date,revenue_cagr_5y_pct,normalized_eps_cagr_5y_pct,latest_roce_or_roe_pct,median_roce_or_roe_5y_pct,net_debt_to_equity,cfo_pat_period,cfo_pat_ratio,preliminary_valuation_method,preliminary_valuation_value,preliminary_priority_score,inclusion_reason,key_disqualifying_risk,data_quality_confidence,primary_source_ids,secondary_source_ids
2026-08-11,Nureca Ltd,NURECA,NSE,Main Board,Not disclosed,Not disclosed,334.0,2026-08-10,317.0,2026-08-10,3-month median daily traded value,0.218,13-week median of weekly traded value / 5,0,EX_MCAP_BELOW_BAND,"Market cap INR 317 cr < 1,000 cr",,,,Early Stage 1,2026-08-10,-7.1487945760346445,-45.744486333177484,3.3,1.0,0.011049723756906077,Mar 2022-Mar 2026,-0.21052631578947367,Trailing P/E vs 3-5y EPS CAGR (preliminary),73.1,,,Weak cash conversion (cumulative CFO/PAT below 0.6),Medium,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,NURECA-SCR-01|NURECA-PXW-01
2026-08-11,Nuvama Wealth Management Ltd,NUVAMA,NSE,Main Board,Financial Services,Financial Services,1636.0,2026-08-10,30031.0,2026-08-10,3-month median daily traded value,68.769,13-week median of weekly traded value / 5,1,,,Financial compounder,ROE 27.4%,Governance risk|Peak-cycle risk,Early Stage 2,2026-08-10,27.323256586113853,,27.4,24.0,,Mar 2022-Mar 2026,,P/B vs ROE (preliminary),27.7,64.8,ROE 27.4%,None identified at Phase 1 depth,Medium,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,NUVAMA-SCR-01|NUVAMA-PXW-01
2026-08-11,Nuvoco Vistas Corporation Ltd,NUVOCO,NSE,Main Board,Construction Materials,Construction Materials,338.0,2026-08-10,12067.0,2026-08-10,3-month median daily traded value,9.746,13-week median of weekly traded value / 5,1,,,High-growth company,3y EPS CAGR 184%; latest quarter revenue +35% YoY,Governance risk|Earnings-upgrade candidate|Capex commissioning|Operating-leverage inflection|Margin-recovery candidate|Debt-reduction story,Early Stage 1,2026-08-10,8.648197186879214,,7.07,4.0,0.480594388503275,Mar 2022-Mar 2026,12.719237435008665,Trailing P/E vs 3-5y EPS CAGR (preliminary),29.1,72.8,3y EPS CAGR 184%; latest quarter revenue +35% YoY,None identified at Phase 1 depth,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,NUVOCO-SCR-01|NUVOCO-PXW-01
2026-08-11,FSN E-Commerce Ventures Ltd,NYKAA,NSE,Main Board,Consumer Services,Consumer Services,324.0,2026-08-10,92177.0,2026-08-10,3-month median daily traded value,204.162,13-week median of weekly traded value / 5,1,,,High-growth company,3y revenue CAGR 25%; 3y EPS CAGR 115%,Governance risk|Earnings-upgrade candidate|PEAD candidate|Debt-reduction story|Peak-cycle risk,Early Stage 2,2026-08-10,32.64085839930975,-36.57467035760492,17.2,7.0,0.8609179415855355,Mar 2022-Mar 2026,1.6322751322751323,Trailing P/E vs 3-5y EPS CAGR (preliminary),346.0,51.5,3y revenue CAGR 25%; 3y EPS CAGR 115%,Equity capital up 1807% in 5y - dilution,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,NYKAA-SCR-01|NYKAA-PXW-01
2026-08-11,Oriental Aromatics Ltd,OAL,NSE,Main Board,Not disclosed,Not disclosed,375.0,2026-08-10,1256.0,2026-08-10,3-month median daily traded value,0.732,13-week median of weekly traded value / 5,0,EX_ILLIQUID,median daily traded value INR 0.732 cr,,,,Mature/extended Stage 2,2026-08-10,7.7761054378783,-49.651636330677164,4.47,5.0,0.606015037593985,Mar 2022-Mar 2026,0.7310924369747899,Trailing P/E vs 3-5y EPS CAGR (preliminary),236.0,,,Other income >35% of PBT - EPS provisional,Medium,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,OAL-SCR-01|OAL-PXW-01
2026-08-11,OBCL Ltd,OBCL,NSE,Main Board,Not disclosed,Not disclosed,53.5,2026-08-10,111.0,2026-08-10,3-month median daily traded value,0.037,13-week median of weekly traded value / 5,0,EX_MCAP_BELOW_BAND,"Market cap INR 111 cr < 1,000 cr",,,,Mature Stage 1 base,2026-08-10,,,-1.05,2.5,0.8571428571428571,Mar 2024-Mar 2026,,Trailing P/E vs 3-5y EPS CAGR (preliminary),,,,None identified at Phase 1 depth,Medium,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,OBCL-SCR-01|OBCL-PXW-01
2026-08-11,Oberoi Realty Ltd,OBEROIRLTY,NSE,Main Board,Realty,Realty,1796.0,2026-08-10,65244.0,2026-08-10,3-month median daily traded value,58.395,13-week median of weekly traded value / 5,1,,,Quality compounder,5y revenue CAGR 24%; 5y EPS CAGR 28%,Governance risk|Capex commissioning,Early Stage 2,2026-08-10,23.96030922251573,27.67091615029562,17.3,16.0,0.15762749693114608,Mar 2022-Mar 2026,0.5248647523928422,Trailing P/E vs 3-5y EPS CAGR (preliminary),24.6,61.7,5y revenue CAGR 24%; 5y EPS CAGR 28%,Weak cash conversion (cumulative CFO/PAT below 0.6),High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,OBEROIRLTY-SCR-01|OBEROIRLTY-PXW-01
2026-08-11,Oracle Financial Services Software Ltd,OFSS,NSE,Main Board,Information Technology,Information Technology,11783.0,2026-08-10,103296.0,2026-08-10,3-month median daily traded value,315.772,13-week median of weekly traded value / 5,0,EX_MCAP_ABOVE_BAND,"Market cap INR 103,296 cr > 1,00,000 cr",,,,Mature/extended Stage 2,2026-08-10,9.009942886080946,8.175299761093036,45.3,40.0,0.0040884119074996806,Mar 2022-Mar 2026,0.9367968535626087,Trailing P/E vs 3-5y EPS CAGR (preliminary),30.3,,,None identified at Phase 1 depth,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,OFSS-SCR-01|OFSS-PXW-01
2026-08-11,Oil India Ltd,OIL,NSE,Main Board,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,454.0,2026-08-10,74198.0,2026-08-10,3-month median daily traded value,130.878,13-week median of weekly traded value / 5,1,,,Cyclical recovery,OPM 11.0pp below 5y peak; PAT 23% below 5y peak; quarterly OPM +8.0pp YoY - margin inflecting,Earnings-upgrade candidate|Capex commissioning|Operating-leverage inflection|Margin-recovery candidate|Debt-reduction story|Demerger/SOTP unlocking|Governance risk,Stage 3 distribution,2026-08-10,14.018746212924516,13.414079281679726,11.6,18.0,0.6461835548888774,Mar 2022-Mar 2026,1.4070102768456376,Trailing P/E vs 3-5y EPS CAGR (preliminary),8.89,75.7,OPM 11.0pp below 5y peak; PAT 23% below 5y peak; quarterly OPM +8.0pp YoY - margin inflecting,Equity capital up 50% in 5y - dilution,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,OIL-SCR-01|OIL-PXW-01
2026-08-11,Ola Electric Mobility Ltd,OLAELEC,NSE,Main Board,Automobile and Auto Components,Automobile and Auto Components,39.3,2026-08-10,18190.0,2026-08-10,3-month median daily traded value,329.153,13-week median of weekly traded value / 5,1,,,High-growth company,best-fitting archetype on screened metrics,Governance risk|Capex commissioning,Early Stage 1,2026-08-10,368.3302802664847,,-19.6,-28.0,0.8245299910474485,Mar 2022-Mar 2026,0.7788401056736697,Trailing P/E vs 3-5y EPS CAGR (preliminary),,27.9,best-fitting archetype on screened metrics,Promoter stake down 3.8pp over 4 quarters,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,OLAELEC-SCR-01|OLAELEC-PXW-01
